generation,gain_enemy_2,gain_enemy_5,gain_enemy_8,kill_enemy_2,kill_enemy_5,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-34.349999999999696,-100.0,0.0,0.0,0.0,0.055328436857531305,0.1205583035958806,0.021392889644048618,0.7284115823710078
0,-100.0,-4.649999999999956,-100.0,0.0,0.0,0.0,0.030972436497379463,0.0028899193273045354,0.11232535317973458,0.019169086744624253
0,15.5,-67.29999999999995,27.70000000000025,0.5,0.0,1.0,0.34593033448976085,0.07706499110220466,0.9375037723272058,0.2039320424024551
0,-100.0,-9.899999999999906,-100.0,0.0,0.0,0.0,0.2751518966089137,0.6801331943894067,0.1319426436102108,0.32385195417548973
0,-100.0,-49.34999999999969,-100.0,0.0,0.0,0.0,0.21151335137499616,0.7342628253920546,0.08755742028523228,0.6428189625642542
0,-40.0,24.250000000000213,-90.0,0.0,0.75,0.0,0.7592903645619518,0.4201108581915587,0.2417235417532574,0.2544033449201676
0,-100.0,-11.69999999999989,-100.0,0.0,0.0,0.0,0.7794951457576804,0.22098195001569498,0.8488727010584555,0.23870502491932277
0,-100.0,-91.04999999999993,-100.0,0.0,0.0,0.0,0.2779384200608648,0.9875177375174058,0.515399218512236,0.08255680712935154
0,-100.0,-44.24999999999969,-100.0,0.0,0.0,0.0,0.4483441860695576,0.5839110728361091,0.9678007527074924,0.2421098589130083
0,-100.0,-52.0499999999997,-100.0,0.0,0.0,0.0,0.02847386569436683,0.024164280083837752,0.8505002268681662,0.8185093900132203
0,-100.0,-47.84999999999968,-100.0,0.0,0.0,0.0,0.8460267657122048,0.8736729022910308,0.3080653688213254,0.15877089994581606
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.4187232000163872,0.27583760015304737,0.3688669576047853,0.4925965521555393
0,-100.0,-50.849999999999696,-100.0,0.0,0.0,0.0,0.2894686372137314,0.9466052015780801,0.7768013430337068,0.177324192601369
0,-100.0,-49.64999999999969,-100.0,0.0,0.0,0.0,0.2234904209058146,0.7022278537268078,0.8342387803697116,0.6041662186417813
0,19.0,14.950000000000223,-87.5,0.75,0.5,0.0,0.819333152161514,0.07490832685624804,0.918265865037282,0.5416871800883173
0,73.5,51.25000000000031,-90.0,1.0,1.0,0.0,0.37001340921501824,0.9262905859566889,0.4635049184081962,0.31074512418633515
0,-55.0,39.20000000000026,-50.0,0.0,0.75,0.0,0.021019528741426652,0.24587537233068213,0.6125647108197365,0.954835559420848
0,-100.0,-19.649999999999814,-100.0,0.0,0.0,0.0,0.641831836043938,0.6541524408498459,0.5624693271265412,0.9375794461348786
0,-90.0,-19.5499999999997,-12.599999999999852,0.0,0.0,0.5,0.15996895342043072,0.5099375604325505,0.4719809525575188,0.207890286228399
0,-100.0,-53.8499999999997,-100.0,0.0,0.0,0.0,0.8342878237867531,0.5407976072032057,0.558557189702173,0.16230648164531314
0,-100.0,-46.19999999999968,-100.0,0.0,0.0,0.0,0.5955514641999691,0.44925276834818406,0.6988164555333161,0.6041840326660508
0,-100.0,-31.64999999999972,-100.0,0.0,0.0,0.0,0.44147650812484995,0.6035808308102033,0.35135860940129693,0.660131493523672
0,34.0,-74.19999999999996,-55.0,0.75,0.0,0.0,0.7476400548652714,0.32771249778705325,0.9904026160101657,0.5319773015035368
0,-100.0,-69.29999999999973,-100.0,0.0,0.0,0.0,0.8515910986576695,0.5477035360466058,0.7451594405271299,0.65264531646838
0,-100.0,-47.99999999999969,-100.0,0.0,0.0,0.0,0.24284814941887456,0.4577473644236121,0.1271002920554264,0.8277563747826467
0,-100.0,-50.999999999999694,-100.0,0.0,0.0,0.0,0.2465090566851208,0.1331411266387661,0.22030789911592952,0.760278097125783
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.41626972251970074,0.28571321035856767,0.1332864955987415,0.8983233740349216
0,74.5,54.55000000000032,-90.0,1.0,1.0,0.0,0.032776991659554056,0.9291402139392767,0.5967885883642173,0.12069997783960651
0,-100.0,-13.049999999999876,-100.0,0.0,0.0,0.0,0.7766984195605514,0.9196294022680166,0.3992917976576996,0.38413047087508534
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.3308406929302189,0.28831716628354553,0.3302526782925651,0.10726623190471718
1,-100.0,-34.34999999999972,-100.0,0.0,0.0,0.0,0.7230138903412309,0.5088683875110029,0.3107736136588428,0.7306541156665004
1,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9108776311146732,0.8165623968460367,0.08857794639762442,0.6365170042759412
1,-100.0,-48.59999999999969,-100.0,0.0,0.0,0.0,0.11084051827730868,1.0,0.8730128274094281,0.7528587810777033
1,-100.0,-54.29999999999971,-100.0,0.0,0.0,0.0,0.15061048958362827,0.24702951017111113,0.27453798960551645,0.8838925750458264
1,-100.0,-14.69999999999986,-100.0,0.0,0.0,0.0,0.3702401060803432,0.6950023633683435,0.15144073439694267,0.8219085110778128
1,-27.5,-49.599999999999795,-87.5,0.0,0.0,0.0,1.0,0.8923815533431093,0.3203296386850069,1.0
1,-100.0,-37.49999999999967,-100.0,0.0,0.0,0.0,0.27916043152808195,0.5556808395013736,0.7481126949663689,0.8176208750261896
1,24.5,-52.549999999999976,29.350000000000257,0.75,0.0,1.0,0.50135918363008,0.8828701806059472,0.010708223135697565,0.16555640397303356
1,-100.0,-63.599999999999724,-100.0,0.0,0.0,0.0,0.4979670184629849,0.5333681102352894,0.4587474288729045,0.7945645680003748
1,-100.0,-55.64999999999971,-100.0,0.0,0.0,0.0,0.6604517859108741,0.46162869752023983,0.14059987409205074,1.0
1,-100.0,-17.99999999999983,-100.0,0.0,0.0,0.0,0.444547164575044,0.522191860998565,0.6937561696216172,0.459442306394912
1,-100.0,-12.299999999999883,-100.0,0.0,0.0,0.0,0.4940833088232346,0.6426697146042378,0.17819433484201008,0.7570328852860082
1,-47.5,58.30000000000029,-85.0,0.0,1.0,0.0,0.1382873192956504,0.48403243072928237,0.6684121240245962,0.13323197992203642
1,-100.0,-53.5499999999997,-100.0,0.0,0.0,0.0,0.5694469350178852,0.7978848055512683,0.7427583869385685,0.592909128920566
1,27.0,9.700000000000195,25.30000000000025,0.75,0.75,1.0,0.5772580680578802,0.21001779038098645,0.27941422374955477,0.4787301369945765
