generation,gain_enemy_1,kill_enemy_1,sigma_0,sigma_1,sigma_2,sigma_3
0,-60.0,0.0,0.6338431498333117,0.10459373762936064,0.32477742974792245,0.41972168540940424
0,-100.0,0.0,0.00596071516567187,0.19192860709475956,0.65052525404548,0.8031682391980208
0,-100.0,0.0,0.7848824016155102,0.8463410896481512,0.8101538621369601,0.3478596988597744
0,-100.0,0.0,0.4425069711066357,0.027293820314564288,0.8251617826559493,0.8829609140193374
0,-100.0,0.0,0.7378082371865199,0.3397152374981728,0.37676540413743653,0.20229473220075767
0,-100.0,0.0,0.7867781443056703,0.7139266506934325,0.241210974946917,0.32191580788248086
0,-100.0,0.0,0.8938796678544983,0.27824022289053363,0.13470155311783538,0.7918110739100938
0,-100.0,0.0,0.5056718551519084,0.31717069954082766,0.7169371773441829,0.12271885892374657
0,-100.0,0.0,0.9162305438605709,0.5740639524299733,0.9853451025415935,0.9463963171688482
0,-100.0,0.0,0.4302498134005517,0.8651877723522536,0.22323837623791343,0.7693112750387936
0,-100.0,0.0,0.24935909366992604,0.4632227548190915,0.5457623403087528,0.9760090516063203
1,-95.0,0.0,0.6164690070496827,0.825128825512307,0.667460972836577,0.5136699632168911
1,-100.0,0.0,0.9385954277168581,0.9160056677397089,0.7324941875161732,0.8514786459009943
1,-100.0,0.0,0.31889101153628124,0.13484193053260232,0.33725103547757035,0.2136449170135921
1,-100.0,0.0,0.70603803341389,0.5589005869115504,0.16903827278453915,0.13378428138255327
1,-90.0,0.0,0.08405884781769542,0.09453790852889948,0.8688570180193447,0.9070164606871268
1,-77.5,0.0,0.09516962843791284,0.1540092016641345,0.34529692015448593,1.0
1,-100.0,0.0,0.9858391392465252,0.20366519663503296,0.5145884250649093,0.03831924619371007
1,-100.0,0.0,0.3141933964935143,0.41437812421159614,0.06116732428381808,0.8355971104717881
1,-97.5,0.0,1.0,1.0,0.6467141340188262,0.25809946054413874
1,-100.0,0.0,0.127877274919833,0.7700849661426881,0.4464185187315725,0.38264409877968997
